Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Solar,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016560000000000001,0.0039096,0.0078588
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity,EJ/yr,0.19672920000000002,0.2142648,0.231804,0.2507112,0.26961840000000004,0.2856888,0.2891628,0.3041856,0.3230928,0.35622360000000003,0.4091616,0.4284432,0.4360392,0.48693600000000004,0.5089824000000001,0.5272416000000001,0.5421564000000001,0.5642568,0.5843520000000001,0.5953860000000001,0.5994432000000001,0.6003252,0.6240996000000001,0.6486228,0.6673716000000001,0.7181856000000001,0.7479144000000001,0.7306344,0.7215192,0.7482132,0.7494228000000001,0.7868304,0.8324928,0.8673480000000001,0.8713980000000001,0.9030636000000001,0.9378000000000001,0.9198684,0.888534,0.9239328000000001,0.9344736000000001,0.9176868,0.9114912000000001,0.8980956000000001,0.8882496000000001
History,IEA Energy Statistics (2017),South Africa,Secondary Energy|Electricity|Wind,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1600000000000003e-05,4.3200000000000007e-05,4.3200000000000007e-05,4.3200000000000007e-05,4.3200000000000007e-05,7.560000000000001e-05,0.00010800000000000001,0.00012240000000000002,0.0001332,0.0001332,0.0001332,0.0030960000000000002,0.008172
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solids|Biomass,EJ/yr,0.19467113,0.20388497,0.21122243,0.22352814,0.24407872,0.23369679,0.22971418,0.22994637999999998,0.23370157,0.23696400999999997,0.25597932,0.26098074,0.25796952,0.28193647,0.2779562,0.28395505,0.29695495,0.30594140999999997,0.31594426,0.3229595,0.32895835,0.33392657,0.33995622999999997,0.34694069,0.35393934,0.35910284,0.36359586,0.36897594,0.37856489,0.38654791,0.39464164999999995,0.40011191999999995,0.40531,0.41066486999999996,0.41618470999999996,0.42192032999999995,0.42787166,0.43401901,0.44040606,0.44703393999999996,0.45387973,0.46096831,0.46833062999999997,0.47597367999999995,0.48386868
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solids|Coal,EJ/yr,0.65961233,0.65915866,0.7081311899999999,0.69774742,0.7426290799999999,0.7868763599999999,0.78011995,0.7767559399999999,0.76458299,0.79087044,0.8110307999999999,0.71039073,0.641535,0.6679922699999999,0.68054194,0.6530211899999999,0.6630211899999999,0.6923875199999999,0.70015425,0.68447855,0.65069948,0.5912248999999999,0.5941103099999999,0.60066065,0.65770337,0.68468399,0.7231942499999999,0.7268901999999999,0.65817722,0.66677498,0.63900126,0.69953364,0.74643803,0.8027735899999999,0.7882646999999999,0.77006046,0.7727301599999999,0.8077440499999999,0.97314324,0.6881153099999999,0.6104541099999999,0.70952704,0.78243584,0.81214353,0.7657714999999999
History,IEA Energy Statistics (2017),South Africa,Final Energy|Electricity,EJ/yr,0.1678154,0.18436038,0.19852172999999998,0.21419175,0.22975374999999998,0.24799103,0.26178871,0.28153107,0.30860434,0.33323276999999996,0.35327758,0.35988476999999996,0.36960652,0.40482446,0.42345061,0.44564859999999995,0.45808524,0.48033003999999996,0.49593165,0.49863934,0.49614049,0.45776838,0.47172089,0.49127601,0.50759415,0.6013982299999999,0.63052747,0.61164568,0.60104897,0.6270060399999999,0.60158547,0.64523252,0.6689787899999999,0.67786879,0.69562359,0.71742551,0.75208535,0.72730929,0.70006319,0.7307047,0.7456834,0.72202354,0.71945628,0.7156612,0.7145882
History,IEA Energy Statistics (2017),South Africa,Final Energy|Fossil,EJ/yr,1.0278551299999998,1.05620179,1.1431459099999999,1.12300124,1.19391901,1.2463724699999998,1.2552054799999999,1.27112568,1.2210477,1.2612296699999999,1.3118876,1.21862915,1.15834267,1.21731593,1.21262699,1.17726227,1.21518115,1.29058231,1.31350743,1.3156946299999999,1.2805608899999998,1.2123063699999999,1.18553008,1.2157642499999999,1.32756006,1.35768164,1.40568816,1.41485898,1.3456837,1.33469193,1.31684495,1.39041548,1.4770347899999998,1.5678257,1.57879517,1.5853164199999998,1.7280550499999998,1.7876131899999999,1.92168083,1.67529015,1.71229941,1.80265944,1.9329061799999998,1.92248968,1.92815141
History,IEA Energy Statistics (2017),South Africa,Final Energy|Gases,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343828,0.07262189,0.07227639,0.07139464999999999,0.07114989,0.07294397999999999
History,IEA Energy Statistics (2017),South Africa,Final Energy|Geothermal,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Heat,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
