,commodity,level,mode,node_dest,node_loc,technology,time,time_dest,unit,value,year_act,year_vtg
65,coal,secondary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,2030,2030
66,coal,secondary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,2040,2040
67,coal,secondary,M1,South Africa,South Africa,coal_bal,year,year,GWa,1.0,2050,2050
68,gas,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.0,2010,2010
69,gas,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.0,2020,2020
70,gas,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.0,2030,2030
71,gas,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.0,2040,2040
72,gas,secondary,M1,South Africa,South Africa,coal_gas,year,year,GWa,1.0,2050,2050
73,lightoil,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,1.0,2020,2020
74,lightoil,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,1.0,2030,2030
75,lightoil,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,1.0,2040,2040
76,lightoil,secondary,M1,South Africa,South Africa,syn_liq,year,year,GWa,1.0,2050,2050
77,lightoil,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,1.0,2020,2020
78,lightoil,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,1.0,2030,2030
79,lightoil,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,1.0,2040,2040
80,lightoil,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,1.0,2050,2050
81,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.0989011,1995,1995
82,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.08695652,2000,2000
83,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.081081085,2005,2005
84,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.07526882,2010,2010
85,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.06382979,2020,2020
86,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.05263158,2030,2030
87,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.05263158,2040,2040
88,fueloil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,0.05263158,2050,2050
89,methanol,primary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.0,2020,2020
90,methanol,primary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.0,2030,2030
91,methanol,primary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.0,2040,2040
92,methanol,primary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.0,2050,2050
93,methanol,primary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.0,2020,2020
94,methanol,primary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.0,2030,2030
95,methanol,primary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.0,2040,2040
96,methanol,primary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.0,2050,2050
97,methanol,primary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.0,2020,2020
98,methanol,primary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.0,2030,2030
99,methanol,primary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.0,2040,2040
100,methanol,primary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.0,2050,2050
101,methanol,primary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.0,2020,2020
102,methanol,primary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.0,2030,2030
103,methanol,primary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.0,2040,2040
104,methanol,primary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.0,2050,2050
105,gas,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.0,2010,2010
106,gas,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.0,2020,2020
107,gas,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.0,2030,2030
108,gas,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.0,2040,2040
109,gas,secondary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.0,2050,2050
110,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,1995,1995
111,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2000,2000
112,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2005,2005
113,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2010,2010
114,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2020,2020
115,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2030,2030
