,commodity,level,mode,node_loc,node_origin,technology,time,time_origin,unit,value,year_act,year_vtg
66,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2020,2020
67,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2030,2030
68,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2040,2040
69,coal,secondary,M1,South Africa,South Africa,syn_liq_ccs,year,year,GWa,2.2727273,2050,2050
70,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0989012,1995,1995
71,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0869565,2000,2000
72,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.081081,2005,2005
73,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0752689,2010,2010
74,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0638298,2020,2020
75,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2030,2030
76,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2040,2040
77,crudeoil,secondary,M1,South Africa,South Africa,ref_hil,year,year,GWa,1.0526316,2050,2050
78,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2020,2020
79,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2030,2030
80,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2040,2040
81,gas,secondary,M1,South Africa,South Africa,meth_ng,year,year,GWa,1.6666666,2050,2050
82,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2020,2020
83,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2030,2030
84,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2040,2040
85,gas,secondary,M1,South Africa,South Africa,meth_ng_ccs,year,year,GWa,1.6666666,2050,2050
86,coal,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.9230769,2020,2020
87,coal,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.9230769,2030,2030
88,coal,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.9230769,2040,2040
89,coal,secondary,M1,South Africa,South Africa,meth_coal,year,year,GWa,1.9230769,2050,2050
90,coal,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.9230769,2020,2020
91,coal,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.9230769,2030,2030
92,coal,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.9230769,2040,2040
93,coal,secondary,M1,South Africa,South Africa,meth_coal_ccs,year,year,GWa,1.9230769,2050,2050
94,biomass,primary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.3850416,2010,2010
95,biomass,primary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.3550136,2020,2020
96,biomass,primary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.32626,2030,2030
97,biomass,primary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.2987013,2040,2040
98,biomass,primary,M1,South Africa,South Africa,gas_bio,year,year,GWa,1.2987013,2050,2050
99,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.631579,1995,1995
100,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.9411764,2000,2000
101,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.7027028,2005,2005
102,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.631579,2010,2010
103,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.6041667,2020,2020
104,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.5595086,2030,2030
105,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.5169897,2040,2040
106,coal,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,2.5,2050,2050
107,coal,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,2.1276596,2010,2010
108,coal,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,2.1276596,2020,2020
109,coal,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,2.1276596,2030,2030
110,coal,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,2.1276596,2040,2040
111,coal,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,2.1276596,2050,2050
112,coal,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,2.857143,2020,2020
113,coal,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,2.857143,2030,2030
114,coal,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,2.857143,2040,2040
115,coal,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,2.857143,2050,2050
116,coal,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,2.3809524,2010,2010
117,coal,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,2.3809524,2020,2020
118,coal,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,2.3809524,2030,2030
119,coal,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,2.3809524,2040,2040
120,coal,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,2.3809524,2050,2050
121,coal,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,2.9411764,2020,2020
122,coal,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,2.9411764,2030,2030
123,coal,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,2.9411764,2040,2040
124,coal,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,2.9411764,2050,2050
125,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.688172,1990,1990
126,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,1995,1995
127,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,3.4482758,2000,2000
128,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,3.3333333,2005,2005
129,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,2010,2010
130,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,2020,2020
131,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,2030,2030
132,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,2040,2040
133,fueloil,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,2.5,2050,2050
134,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5380712,1990,1990
135,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,3.4482758,1995,1995
136,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,3.5714285,2000,2000
137,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2005,2005
138,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2010,2010
139,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2020,2020
140,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2030,2030
141,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2040,2040
142,lightoil,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,2.5,2050,2050
143,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,3.0959752,1990,1990
144,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,3.030303,1995,1995
145,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,3.125,2000,2000
146,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.7777777,2005,2005
147,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.857143,2010,2010
148,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.5,2020,2020
149,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.5,2030,2030
150,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.5,2040,2040
151,gas,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,2.5,2050,2050
152,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.6184864,1990,1990
153,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5641026,1995,1995
154,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5641026,2000,2000
