,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
95,223.48018,M1,0.0,South Africa,coal_bal,year,2040,2040
96,280.47623,M1,0.0,South Africa,coal_bal,year,2050,2050
97,0.0,M1,0.0,South Africa,coal_adv,year,2010,2010
98,0.0,M1,0.0,South Africa,coal_adv,year,2020,2010
99,0.0,M1,0.0,South Africa,coal_adv,year,2030,2010
100,0.0,M1,0.0,South Africa,coal_adv,year,2040,2010
101,3.038586,M1,0.0,South Africa,coal_adv,year,2020,2020
102,3.038586,M1,0.0,South Africa,coal_adv,year,2030,2020
103,3.038586,M1,0.0,South Africa,coal_adv,year,2040,2020
104,1.0594894,M1,0.0,South Africa,coal_adv,year,2030,2030
105,1.0594894,M1,0.0,South Africa,coal_adv,year,2040,2030
106,1.0594894,M1,0.0,South Africa,coal_adv,year,2050,2030
107,0.36942112,M1,0.0,South Africa,coal_adv,year,2040,2040
108,0.36942112,M1,0.0,South Africa,coal_adv,year,2050,2040
109,7.336096,M1,0.0,South Africa,coal_adv,year,2050,2050
110,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2020,2020
111,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2030,2020
112,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2020
113,0.0,M1,43.870304,South Africa,coal_adv_ccs,year,2030,2030
114,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2030
115,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2030
116,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2040
117,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2040
118,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2050
119,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1970
120,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1975
121,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1975
122,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1980
