scenario,iso,year,pop,gdp,urbanization,gini,gdppc,hh_gdp,income,k_i,k_t,n_u,n_r,i_r,i_u,g_u,g_r,T,T_emp,T_b,T_w,T_w_emp,t_r,t_r_emp,t_u,t_u_emp,gini_r,gini_u,gini_r_emp,gini_u_emp
SSP3,ZAF,2050,61625000.0,1417169090350.0,0.67565,0.710245069084,22996.658666900003,836355272000.0,13571.6879838,1.3929231598899998,1.0472593051299999,41636931.25,19988068.75,10724.550144600002,14938.4742757,621992226399.0,214363045603.0,1.12075969431,0.936678580637,0.0110131563319,1.10974653798,0.925665424305,1.07206718029,0.894236194814,1.12273233028,0.9364971760009999,0.699521014826,0.710669127598,0.697221011574,0.7101905878229999
SSP3,ZAF,2055,62671000.0,1506688556740.0,0.6802600000000001,0.7127549758059999,24041.2400749,889186002059.0,14188.157234799999,1.3771934399799999,1.06407342774,42632574.46,20038425.54,11291.0031467,15549.895464500001,662932076235.0,226253925827.0,1.13248913436,0.9450719913950001,0.0102099653631,1.122279169,0.9348620260320001,1.0711122395000001,0.892239815184,1.13974207218,0.9494086785089999,0.699305647648,0.714293164445,0.6965944088349999,0.714043483229
SSP3,ZAF,2060,63633000.0,1601420537870.0,0.6844600000000001,0.715286521573,25166.510110599997,945092945266.0,14852.2456157,1.36146372008,1.08088755035,43554243.18,20078756.82,11906.4909563,16210.255470500002,706025408773.0,239067536491.0,1.14445238381,0.9536103669920001,0.00944062334686,1.13501176046,0.9441697436450001,1.0703351459000001,0.8903679199869999,1.15691193391,0.962387599947,0.699130243439,0.717893099991,0.69600571303,0.7178663082819999
SSP3,ZAF,2065,64590000.0,1699673744930.0,0.68829,0.718121848557,26314.812586,1003077972090.0,15529.9268012,1.34573400018,1.09770167296,44456651.1,20133348.9,12544.7194407,16881.8554742,750510758736.0,252567213353.0,1.15801231061,0.963261256355,0.0087034071905,1.1493089034200001,0.954557849164,1.07101637137,0.889532031667,1.17565646263,0.976440799316,0.6992840155869999,0.721757969373,0.6957424680509999,0.7219497520929999
SSP3,ZAF,2070,65532000.0,1801883929610.0,0.69179,0.7207633433570001,27496.2450347,1063398245370.0,16227.159942700002,1.33000428028,1.11451579558,45334382.28,20197617.72,13211.1403463,17570.873208,796564683005.0,266833562360.0,1.17080129739,0.9723373218960001,0.00799679214932,1.1628045052399998,0.964340529747,1.0709384605399999,0.8881539052449999,1.19357783037,0.9898615562980001,0.699266434006,0.725390948289,0.695307964073,0.725796162792
SSP3,ZAF,2075,66444000.0,1905756793170.0,0.69499,0.7232393116470001,28682.150279400004,1124699763760.0,16927.032745700002,1.31427456038,1.1313299181899998,46177915.56,20266084.44,13892.635562600002,18258.7374966,843150438350.0,281549325406.0,1.18292814654,0.9809202491700001,0.0073196358861400005,1.17560851065,0.973600613284,1.0702394528799999,0.886337397396,1.21079391267,1.00274001528,0.699108634661,0.728825053496,0.6947343055799999,0.729439020864
SSP3,ZAF,2080,67359000.0,2009182901180.0,0.69791,0.7255272397570001,29827.979946,1185737625280.0,17603.254580400004,1.29854484048,1.1481440407999999,47010519.69,20348480.31,14567.9201773,18917.097582799997,889302588395.0,296435036886.0,1.19425594232,0.988917366247,0.0066711329136799995,1.1875848094099999,0.982246233333,1.06882936753,0.8840241236,1.2271700689700002,1.0149870294399999,0.6987899863,0.732041900995,0.694002217302,0.7328602115489999
SSP3,ZAF,2085,68335000.0,2112560592340.0,0.7005899999999999,0.7275676586040001,30914.7668448,1246746913160.0,18244.631787000002,1.28281512058,1.1649581634100001,47874817.65,20460182.35,15227.4948572,19534.060651400003,935189591652.0,311557321513.0,1.20445872074,0.996103613114,0.0060503608573,1.19840835988,0.990053252256,1.06645033386,0.8810374299410001,1.24237002231,1.02637174628,0.698251390007,0.7349852188439999,0.693054433998,0.7360034194830001
SSP3,ZAF,2090,69283000.0,2215508033700.0,0.70304,0.7294004611980001,31977.6573431,1307502285200.0,18871.9063147,1.2670854006799999,1.18177228603,48708720.32,20574279.68,15888.496076700001,20132.0814175,980607923226.0,326894361976.0,1.2137052873899998,1.0026028278599999,0.00545702752145,1.20824825987,0.997145800342,1.0632931214799999,0.877516902638,1.25657034289,1.0370251560600001,0.6975346997409999,0.737698722363,0.691933503519,0.7389127779670001
SSP3,ZAF,2095,70227000.0,2318288216830.0,0.70529,0.731061596621,33011.351999,1368158948270.0,19481.9506496,1.25135568078,1.19858640864,49530400.83,20696599.17,16548.2918433,20707.7990053,1025665585040.0,342493363229.0,1.22215368934,1.00852984789,0.00489074180596,1.2172629475399999,1.00363910609,1.05952696855,0.873585039075,1.26993462409,1.0470671546299999,0.69667690276,0.7402210552680001,0.690676794028,0.74162724118
SSP3,ZAF,2100,71179000.0,2423291173830.0,0.70736,0.732580853865,34045.0297676,1430127401610.0,20091.9850182,1.23562596088,1.21540053125,50349177.44,20829822.56,17221.617112,21279.477192,1071404172970.0,358723228640.0,1.2299377418700002,1.0139813902700001,0.0043514363854399996,1.22558630549,1.00962995388,1.05529271044,0.869343208063,1.28260332089,1.05660019692,0.6957087307050001,0.742584447575,0.689315290052,0.7441793452590001
SSP4,ZAF,2010,50133000.0,522418981248.0,0.6221800000000001,0.6938,10420.6606676,308310329470.0,6149.84799374,2.0696348251299996,1.06903856043,31191749.94,18941250.06,3692.48157968,7642.08846846,238370112527.0,69940216942.7,1.0469957871,0.8833861186799998,0.052239137651500005,0.994756649451,0.831146981029,0.944349933101,0.789030760804,1.00954649302,0.843504308665,0.66883834474,0.684988490245,0.662368621585,0.6808914462469999
SSP4,ZAF,2015,52244000.0,625682232562.0,0.65351,0.696951542778,11976.1548228,369252079632.0,7067.83706515,1.96467837129,1.0820956556,34141976.44,18102023.56,4334.96085875,8516.80383958,290780516035.0,78471563596.7,1.06073127556,0.8933771570899999,0.042969262064100004,1.0177620134899998,0.850407895026,0.955960050194,0.7987682417290001,1.03444021724,0.8643436442069999,0.671793156531,0.690881934894,0.6657583721589999,0.687702904476
SSP4,ZAF,2020,54132000.0,770219753599.0,0.68829,0.70058681,14228.5478755,454552216746.0,8397.10738096,1.8597219174500002,1.09515275077,37258514.28,16873485.72,5275.43313569,9810.8386265,365537271064.0,89014945681.8,1.0768059374299999,0.905030056759,0.034102276563300005,1.0427036608700002,0.870927780196,0.9685882644580001,0.809022216709,1.06075210219,0.886002906065,0.6749674858210001,0.6969562894269999,0.669290262624,0.6946285556340001
SSP4,ZAF,2025,55521000.0,923563640590.0,0.72106,0.703919948333,16634.492184799998,545049511097.0,9816.99737211,1.75476546362,1.10820984594,40033972.26,15487027.74,6357.2070466000005,11155.4073704,446595269217.0,98454241879.7,1.0917669029500001,0.91583760237,0.026232417987599996,1.0655344849700001,0.889605184383,0.9787546571410001,0.8171534844859999,1.08466554781,0.905577537155,0.6774935452420001,0.70234381928,0.6720639251459999,0.700756541626
