Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solids|Biomass,EJ/yr,0.19467113,0.20388497,0.21122243,0.22352814,0.24407872,0.23369679,0.22971418,0.22994638,0.23370157,0.23696401,0.25597932,0.26098074,0.25796952,0.28193647,0.2779562,0.28395505,0.29695495,0.30594141,0.31594426,0.3229595,0.32895835,0.33392657,0.33995623,0.34694069,0.35393934,0.35910284,0.36359586,0.36897594,0.37856489,0.38654791,0.39464165,0.40011192,0.40531,0.41066487,0.41618471,0.42192033,0.42787166,0.43401901,0.44040606,0.44703394,0.45387973,0.46096831,0.46833063,0.47597368,0.48386868
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solids|Coal,EJ/yr,0.65961233,0.65915866,0.70813119,0.69774742,0.74262908,0.78687636,0.78011995,0.77675594,0.76458299,0.79087044,0.8110308,0.71039073,0.641535,0.66799227,0.68054194,0.65302119,0.66302119,0.69238752,0.70015425,0.68447855,0.65069948,0.5912249,0.59411031,0.60066065,0.65770337,0.68468399,0.72319425,0.7268902,0.65817722,0.66677498,0.63900126,0.69953364,0.74643803,0.80277359,0.7882647,0.77006046,0.77273016,0.80774405,0.97314324,0.68811531,0.61045411,0.70952704,0.78243584,0.81214353,0.7657715
History,IEA Energy Statistics (2017),South Africa,Final Energy|Electricity,EJ/yr,0.1678154,0.18436038,0.19852173,0.21419175,0.22975375,0.24799103,0.26178871,0.28153107,0.30860434,0.33323277,0.35327758,0.35988477,0.36960652,0.40482446,0.42345061,0.4456486,0.45808524,0.48033004,0.49593165,0.49863934,0.49614049,0.45776838,0.47172089,0.49127601,0.50759415,0.60139823,0.63052747,0.61164568,0.60104897,0.62700604,0.60158547,0.64523252,0.66897879,0.67786879,0.69562359,0.71742551,0.75208535,0.72730929,0.70006319,0.7307047,0.7456834,0.72202354,0.71945628,0.7156612,0.7145882
History,IEA Energy Statistics (2017),South Africa,Final Energy|Fossil,EJ/yr,1.02785513,1.05620179,1.14314591,1.12300124,1.19391901,1.24637247,1.25520548,1.27112568,1.2210477,1.26122967,1.3118876,1.21862915,1.15834267,1.21731593,1.21262699,1.17726227,1.21518115,1.29058231,1.31350743,1.31569463,1.28056089,1.21230637,1.18553008,1.21576425,1.32756006,1.35768164,1.40568816,1.41485898,1.3456837,1.33469193,1.31684495,1.39041548,1.47703479,1.5678257,1.57879517,1.58531642,1.72805505,1.78761319,1.92168083,1.67529015,1.71229941,1.80265944,1.93290618,1.92248968,1.92815141
History,IEA Energy Statistics (2017),South Africa,Final Energy|Gases,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343828,0.07262189,0.07227639,0.07139465,0.07114989,0.07294398
History,IEA Energy Statistics (2017),South Africa,Final Energy|Geothermal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Liquids,EJ/yr,0.3682428,0.39704313,0.43501472,0.42525382,0.45128993,0.45949611,0.47508553,0.49436974,0.45646471,0.47035923,0.5008568,0.50823842,0.51680767,0.54932366,0.53208505,0.52424108,0.55215996,0.59819479,0.61335318,0.63121608,0.62986141,0.62108147,0.59141977,0.6151036,0.66985669,0.67299765,0.68249391,0.68796878,0.68750648,0.66791695,0.67784369,0.69088184,0.73059676,0.76505211,0.79053047,0.81525596,0.95532489,0.97986914,0.94853759,0.95279204,1.02922341,1.02085601,1.07907569,1.03919626,1.08943593
History,IEA Energy Statistics (2017),South Africa,Final Energy|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Solar,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051092,0.00057891,0.00064787,0.00071988,0.00074387,0.00074785,0.00081484,0.00210362,0.0024955,0.00276747,0.00300441,0.00325239,0.00380329,0.00424018,0.00472711
