,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
83,51.55226,M1,0.0,South Africa,coal_extr,year,2020,2010
84,112.185165,M1,0.0,South Africa,coal_extr,year,2020,2020
85,184.6167,M1,0.0,South Africa,coal_extr,year,2030,2030
86,215.72113,M1,0.0,South Africa,coal_extr,year,2040,2040
87,258.0114,M1,0.0,South Africa,coal_extr,year,2050,2050
88,0.0,M1,0.0,South Africa,coal_bal,year,1990,1990
89,0.0,M1,0.0,South Africa,coal_bal,year,1995,1995
90,0.0,M1,0.0,South Africa,coal_bal,year,2000,2000
91,0.0,M1,0.0,South Africa,coal_bal,year,2005,2005
92,0.0,M1,0.0,South Africa,coal_bal,year,2010,2010
93,91.950005,M1,0.0,South Africa,coal_bal,year,2020,2020
94,125.29741,M1,0.0,South Africa,coal_bal,year,2030,2030
95,178.6282,M1,0.0,South Africa,coal_bal,year,2040,2040
96,227.70378,M1,0.0,South Africa,coal_bal,year,2050,2050
97,0.0,M1,0.0,South Africa,coal_adv,year,2010,2010
98,0.0,M1,0.0,South Africa,coal_adv,year,2020,2010
99,0.0,M1,0.0,South Africa,coal_adv,year,2030,2010
100,0.0,M1,0.0,South Africa,coal_adv,year,2040,2010
101,0.0,M1,0.0,South Africa,coal_adv,year,2020,2020
102,0.0,M1,0.0,South Africa,coal_adv,year,2030,2020
103,0.0,M1,0.0,South Africa,coal_adv,year,2040,2020
104,0.0,M1,0.0,South Africa,coal_adv,year,2030,2030
105,0.0,M1,0.0,South Africa,coal_adv,year,2040,2030
106,0.0,M1,0.0,South Africa,coal_adv,year,2050,2030
107,0.0,M1,0.0,South Africa,coal_adv,year,2040,2040
108,0.0,M1,0.0,South Africa,coal_adv,year,2050,2040
109,3.038586,M1,0.0,South Africa,coal_adv,year,2050,2050
110,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2020,2020
111,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2030,2020
112,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2020
113,0.0,M1,36.490845,South Africa,coal_adv_ccs,year,2030,2030
114,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2030
115,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2030
116,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2040,2040
117,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2040
118,0.0,M1,0.0,South Africa,coal_adv_ccs,year,2050,2050
119,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1970
120,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1975
121,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1975
122,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1980
123,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1980
124,0.0,M1,0.0,South Africa,coal_ppl,year,2005,1980
125,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1985
126,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1985
127,0.0,M1,0.0,South Africa,coal_ppl,year,2005,1985
128,0.0,M1,0.0,South Africa,coal_ppl,year,2010,1985
129,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1990
130,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1990
131,0.0,M1,0.0,South Africa,coal_ppl,year,2005,1990
132,0.0,M1,0.0,South Africa,coal_ppl,year,2010,1990
133,0.0,M1,0.0,South Africa,coal_ppl,year,2020,1990
134,0.0,M1,0.0,South Africa,coal_ppl,year,1995,1995
135,0.0,M1,0.0,South Africa,coal_ppl,year,2000,1995
136,0.0,M1,0.0,South Africa,coal_ppl,year,2005,1995
137,0.0,M1,0.0,South Africa,coal_ppl,year,2010,1995
138,1.6966001,M1,0.0,South Africa,coal_ppl,year,2020,1995
139,0.0,M1,0.0,South Africa,coal_ppl,year,2000,2000
140,0.0,M1,0.0,South Africa,coal_ppl,year,2005,2000
141,0.0,M1,0.0,South Africa,coal_ppl,year,2010,2000
142,1.81815,M1,0.0,South Africa,coal_ppl,year,2020,2000
143,0.909075,M1,0.0,South Africa,coal_ppl,year,2030,2000
144,0.0,M1,0.0,South Africa,coal_ppl,year,2005,2005
145,0.0,M1,0.0,South Africa,coal_ppl,year,2010,2005
146,0.014875,M1,0.0,South Africa,coal_ppl,year,2020,2005
147,0.014875,M1,0.0,South Africa,coal_ppl,year,2030,2005
148,0.0,M1,0.0,South Africa,coal_ppl,year,2010,2010
149,0.0,M1,0.0,South Africa,coal_ppl,year,2020,2010
150,0.0,M1,0.0,South Africa,coal_ppl,year,2030,2010
151,0.0,M1,0.0,South Africa,coal_ppl,year,2040,2010
152,23.934729,M1,0.0,South Africa,coal_ppl,year,2020,2020
153,23.934729,M1,0.0,South Africa,coal_ppl,year,2030,2020
154,23.934729,M1,0.0,South Africa,coal_ppl,year,2040,2020
155,12.084428,M1,0.0,South Africa,coal_ppl,year,2030,2030
156,12.084428,M1,0.0,South Africa,coal_ppl,year,2040,2030
157,12.084428,M1,0.0,South Africa,coal_ppl,year,2050,2030
158,15.371414,M1,0.0,South Africa,coal_ppl,year,2040,2040
159,15.371414,M1,0.0,South Africa,coal_ppl,year,2050,2040
160,25.5,M1,0.0,South Africa,coal_ppl,year,2050,2050
161,0.0,M1,0.0,South Africa,igcc,year,2010,2010
162,0.0,M1,0.0,South Africa,igcc,year,2020,2010
163,0.0,M1,0.0,South Africa,igcc,year,2030,2010
164,0.0,M1,0.0,South Africa,igcc,year,2040,2010
165,0.60448456,M1,0.0,South Africa,igcc,year,2020,2020
166,0.60448456,M1,0.0,South Africa,igcc,year,2030,2020
167,0.60448456,M1,0.0,South Africa,igcc,year,2040,2020
168,0.35965335,M1,0.0,South Africa,igcc,year,2030,2030
169,0.35965335,M1,0.0,South Africa,igcc,year,2040,2030
170,0.35965335,M1,0.0,South Africa,igcc,year,2050,2030
171,0.7453331,M1,0.0,South Africa,igcc,year,2040,2040
172,0.7453331,M1,0.0,South Africa,igcc,year,2050,2040
173,5.980539,M1,0.0,South Africa,igcc,year,2050,2050
174,0.0,M1,0.0,South Africa,igcc_ccs,year,2020,2020
175,0.0,M1,0.0,South Africa,igcc_ccs,year,2030,2020
176,0.0,M1,0.0,South Africa,igcc_ccs,year,2040,2020
177,0.0,M1,34.03209,South Africa,igcc_ccs,year,2030,2030
178,0.0,M1,0.0,South Africa,igcc_ccs,year,2040,2030
179,0.0,M1,0.0,South Africa,igcc_ccs,year,2050,2030
180,0.0,M1,0.0,South Africa,igcc_ccs,year,2040,2040
181,0.0,M1,0.0,South Africa,igcc_ccs,year,2050,2040
182,0.0,M1,0.0,South Africa,igcc_ccs,year,2050,2050
183,0.0,M1,0.0,South Africa,coal_t_d,year,1990,1990
184,0.0,M1,0.0,South Africa,coal_t_d,year,1995,1995
185,0.0,M1,0.0,South Africa,coal_t_d,year,2000,2000
186,0.0,M1,0.0,South Africa,coal_t_d,year,2005,2005
187,0.0,M1,0.0,South Africa,coal_t_d,year,2010,2010
188,18.598064,M1,0.0,South Africa,coal_t_d,year,2020,2020
189,26.709177,M1,0.0,South Africa,coal_t_d,year,2030,2030
190,39.463715,M1,0.0,South Africa,coal_t_d,year,2040,2040
191,60.09277,M1,0.0,South Africa,coal_t_d,year,2050,2050
192,0.0,M1,0.0,South Africa,coal_fs,year,1990,1990
193,0.0,M1,0.0,South Africa,coal_fs,year,1995,1995
194,0.0,M1,0.0,South Africa,coal_fs,year,2000,2000
195,0.0,M1,0.0,South Africa,coal_fs,year,2005,2005
196,0.0,M1,0.0,South Africa,coal_fs,year,2010,2010
197,2.3529842,M1,0.0,South Africa,coal_fs,year,2020,2020
198,2.8,M1,0.0,South Africa,coal_fs,year,2030,2030
199,3.0,M1,0.0,South Africa,coal_fs,year,2040,2040
200,3.4,M1,0.0,South Africa,coal_fs,year,2050,2050
201,0.0,M1,0.0,South Africa,coal_i,year,1990,1990
202,0.0,M1,0.0,South Africa,coal_i,year,1995,1990
203,0.0,M1,0.0,South Africa,coal_i,year,2000,1990
204,0.0,M1,0.0,South Africa,coal_i,year,2005,1990
205,0.0,M1,0.0,South Africa,coal_i,year,2010,1990
206,0.0,M1,0.0,South Africa,coal_i,year,1995,1995
207,0.0,M1,0.0,South Africa,coal_i,year,2000,1995
208,0.0,M1,0.0,South Africa,coal_i,year,2005,1995
209,0.0,M1,0.0,South Africa,coal_i,year,2010,1995
210,0.0,M1,0.0,South Africa,coal_i,year,2020,1995
211,0.0,M1,0.0,South Africa,coal_i,year,2000,2000
212,0.0,M1,0.0,South Africa,coal_i,year,2005,2000
213,0.0,M1,0.0,South Africa,coal_i,year,2010,2000
214,0.0,M1,0.0,South Africa,coal_i,year,2020,2000
215,0.0,M1,0.0,South Africa,coal_i,year,2005,2005
216,0.0,M1,0.0,South Africa,coal_i,year,2010,2005
217,0.0,M1,0.0,South Africa,coal_i,year,2020,2005
218,0.0,M1,0.0,South Africa,coal_i,year,2030,2005
219,0.0,M1,0.0,South Africa,coal_i,year,2010,2010
220,1.8037374,M1,0.0,South Africa,coal_i,year,2020,2010
221,1.4663485,M1,0.0,South Africa,coal_i,year,2030,2010
222,6.342075,M1,0.0,South Africa,coal_i,year,2020,2020
223,6.342075,M1,0.0,South Africa,coal_i,year,2030,2020
224,3.1710374,M1,0.0,South Africa,coal_i,year,2040,2020
225,6.089141,M1,0.0,South Africa,coal_i,year,2030,2030
226,6.089141,M1,0.0,South Africa,coal_i,year,2040,2030
227,3.0445704,M1,0.0,South Africa,coal_i,year,2050,2030
228,14.006384,M1,0.0,South Africa,coal_i,year,2040,2040
229,14.006384,M1,0.0,South Africa,coal_i,year,2050,2040
230,21.476719,M1,0.0,South Africa,coal_i,year,2050,2050
231,0.0,M1,0.0,South Africa,coal_rc,year,1990,1990
232,0.0,M1,0.0,South Africa,coal_rc,year,1995,1995
233,0.0,M1,0.0,South Africa,coal_rc,year,2000,2000
234,0.0,M1,0.0,South Africa,coal_rc,year,2005,2005
235,0.0,M1,0.0,South Africa,coal_rc,year,2010,2010
236,0.48730183,M1,0.0,South Africa,coal_rc,year,2020,2020
237,0.16991164,M1,0.0,South Africa,coal_rc,year,2030,2030
238,0.059244525,M1,0.0,South Africa,coal_rc,year,2040,2040
239,0.020657288,M1,0.0,South Africa,coal_rc,year,2050,2050
240,0.0,M1,0.0,South Africa,gas_bal,year,1990,1990
241,0.0,M1,0.0,South Africa,gas_bal,year,1995,1995
242,0.0,M1,0.0,South Africa,gas_bal,year,2000,2000
243,0.0,M1,0.0,South Africa,gas_bal,year,2005,2005
244,0.0,M1,0.0,South Africa,gas_bal,year,2010,2010
245,0.0,M1,0.0,South Africa,gas_bal,year,2020,2020
246,0.00059209764,M1,0.0,South Africa,gas_bal,year,2030,2030
247,1.6725293e-05,M1,0.0,South Africa,gas_bal,year,2040,2040
248,0.029391177,M1,0.0,South Africa,gas_bal,year,2050,2050
249,0.0,M1,0.0,South Africa,gas_cc,year,1995,1995
250,0.0,M1,0.0,South Africa,gas_cc,year,2000,1995
251,0.0,M1,0.0,South Africa,gas_cc,year,2005,1995
252,0.0,M1,0.0,South Africa,gas_cc,year,2010,1995
253,0.0,M1,0.0,South Africa,gas_cc,year,2020,1995
254,0.0,M1,0.0,South Africa,gas_cc,year,2000,2000
255,0.0,M1,0.0,South Africa,gas_cc,year,2005,2000
256,0.0,M1,0.0,South Africa,gas_cc,year,2010,2000
257,0.0,M1,0.0,South Africa,gas_cc,year,2020,2000
258,0.0,M1,1.7490776,South Africa,gas_cc,year,2030,2000
259,0.0,M1,0.0,South Africa,gas_cc,year,2005,2005
260,0.0,M1,0.0,South Africa,gas_cc,year,2010,2005
261,0.0,M1,0.0,South Africa,gas_cc,year,2020,2005
262,0.0,M1,1.7490776,South Africa,gas_cc,year,2030,2005
263,0.0,M1,0.0,South Africa,gas_cc,year,2010,2010
264,0.0,M1,0.0,South Africa,gas_cc,year,2020,2010
265,0.0,M1,1.7490776,South Africa,gas_cc,year,2030,2010
266,0.0,M1,14.698661,South Africa,gas_cc,year,2040,2010
